Empresa,1T_Dívida Líquida,1T_EBIT,1T_Lucro Líquido,1T_ROE,1T_Receita Líquida,2T_Dívida Líquida,2T_EBIT,2T_Lucro Líquido,2T_ROE,2T_Receita Líquida,3T_Dívida Líquida,3T_EBIT,3T_Lucro Líquido,3T_ROE,3T_Receita Líquida,Classificação
JFEN3 - 2022,575920000.0,-28230000.0,-39610000.0,-6.29,6010000.0,571495000.0,-8138000.0,-17048000.0,-2.41,-12121000.0,581569000.0,-22512000.0,-25673000.0,-3.45,6132000.0,0
WEST3 - 2022,-187200000.0,-12900000.0,-7080000.0,-1.91,68270000.0,-134920000.0,-18980000.0,-8730000.0,-2.41,61540000.0,-130137000.0,-16950000.0,-11050000.0,-3.14,61720000.0,0
BRKM3 - 2022,18908970000.0,3770280000.0,3947380000.0,33.49,26731440000.0,20885380000.0,1654580000.0,-1462700000.0,-14.85,25411300000.0,22488024000.0,690260000.0,-1421790000.0,-12.69,25386780000.0,0
CEBR6 - 2022,-731100000.0,50760000.0,53590000.0,4.5,80210000.0,-504128000.0,105310000.0,91810000.0,6.52,133100000.0,-514814000.0,50380000.0,50370000.0,2.93,80430000.0,0
CEBR3 - 2022,-731100000.0,50760000.0,53590000.0,4.5,80210000.0,-504128000.0,105310000.0,91810000.0,6.52,133100000.0,-514814000.0,50380000.0,50370000.0,2.93,80430000.0,0
ENGI4 - 2022,18805870000.0,1456800000.0,580680000.0,5.68,6514550000.0,21282480000.0,1373620000.0,989700000.0,9.36,6284200000.0,-3179077000.0,1652910000.0,474750000.0,3.45,7042670000.0,0
ATOM3 - 2022,-18260000.0,8830000.0,8650000.0,35.35,16300000.0,-20640000.0,590000.0,730000.0,4.53,7760000.0,-22777000.0,900000.0,1150000.0,4.29,6360000.0,0
UNIP3 - 2022,-432940000.0,770360000.0,449030000.0,16.86,1890470000.0,-662159000.0,799390000.0,539150000.0,16.6,2001140000.0,-191980000.0,586980000.0,197790000.0,7.02,1942830000.0,0
VSTE3 - 2022,1748010000.0,-4660000.0,-59050000.0,-10.07,232770000.0,1814350000.0,19660000.0,-43770000.0,-6.94,268360000.0,1872333000.0,6530000.0,-66710000.0,-9.57,287280000.0,0
SNSY5 - 2022,123430000.0,-8770000.0,-46500000.0,-3.05,189260000.0,119750000.0,-620000.0,-41070000.0,-2.62,216700000.0,121476000.0,-1190000.0,-42700000.0,-2.66,226460000.0,1
LOGN3 - 2022,878700000.0,110410000.0,88440000.0,11.09,388440000.0,859440000.0,85950000.0,21970000.0,3.97,609190000.0,955901000.0,89040000.0,35990000.0,6.16,521910000.0,0
GEPA4 - 2022,963540000.0,154390000.0,69930000.0,3.53,334040000.0,804500000.0,103890000.0,26760000.0,1.33,314700000.0,783647000.0,107480000.0,56570000.0,2.74,360020000.0,1
CEBR5 - 2022,-731100000.0,50760000.0,53590000.0,4.5,80210000.0,-504128000.0,105310000.0,91810000.0,6.52,133100000.0,-514814000.0,50380000.0,50370000.0,2.93,80430000.0,0
